threshold,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"never",0.7543881661571475,341.7892494256963,675,501.0782074074074,1201.6570000000002,1645.3571999999988,2407.449099999999,5638.935810370371,13631.6738,20280.832899999994,45259.56805999997,11.365228061321465,11.988,12.857,15.608,0,0,0,"OVERLOADED",0.3245941975810131
"16384",0.7571132641891887,343.0239045445954,675,505.88852444444444,1272.279,1576.0347999999997,3129.7269999999985,5572.720792592592,13316.135800000004,20659.77249999999,43431.39028,11.215498351608737,12.365,13.361,14.802,0,0,16,"OVERLOADED",0.3011104447811942
"4096",0.7667723494039056,347.4001283956323,675,514.7710755555556,1009.8284000000001,1176.5514999999998,1647.4559799999997,4958.986482962963,12264.7392,17752.438699999977,39397.20129999999,10.009377360345539,12.001,12.566,13.252,0,0,480,"OVERLOADED",0.199110573763012
"1024",0.7643194285289392,346.2887880772574,675,529.9638562962964,807.44,966.2565999999998,1337.54812,4941.067211851852,12180.126400000008,17421.01009999998,36627.26477999998,9.970666562891207,12.154,12.842,14.518,0,0,648,"OVERLOADED",0.24844206392897716
"256",0.7669065599240897,347.46093490747415,675,535.1569866666667,782.7630000000001,902.1001999999996,1113.1190199999999,4897.4859822222215,12759.408800000003,18026.11199999999,36052.16129999997,9.869811280501791,11.634,12.336,13.67,0,0,673,"OVERLOADED",0.21679404420939938
"64",0.7705625287170818,349.11733791820245,675,539.4614548148148,804.1578000000001,935.1057999999997,1200.7458599999998,4879.851205925926,12254.193200000003,17312.874499999984,38112.21578,9.821384828901575,11.59,12.324,14.515,0,0,675,"STABLE",0
"16",0.7705625287170818,349.11733791820245,675,539.4614548148148,804.1578000000001,935.1057999999997,1200.7458599999998,4879.851205925926,12254.193200000003,17312.874499999984,38112.21578,9.821384828901575,11.59,12.324,14.515,0,0,675,"STABLE",0
"0",0.7705625287170818,349.11733791820245,675,539.4614548148148,804.1578000000001,935.1057999999997,1200.7458599999998,4879.851205925926,12254.193200000003,17312.874499999984,38112.21578,9.821384828901575,11.59,12.324,14.515,0,0,675,"STABLE",0
"always",0.7705625287170818,349.11733791820245,675,539.4614548148148,804.1578000000001,935.1057999999997,1200.7458599999998,4879.851205925926,12254.193200000003,17312.874499999984,38112.21578,9.821384828901575,11.59,12.324,14.515,0,0,675,"STABLE",0
