threshold,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"never",11.74965257305436,3569.2977089898804,2000,36.3884905,68.40950000000001,84.8865,140.69437000000002,4723.7463805,7789.397500000001,8627.817799999999,10169.57025,15.481119529425753,18.592,24.23,62.201,0,0,0,"STABLE",0
"16384",11.74965257305436,3569.2977089898804,2000,36.3884905,68.40950000000001,84.8865,140.69437000000002,4723.7463805,7789.397500000001,8627.817799999999,10169.57025,15.481119529425753,18.592,24.23,62.201,0,0,0,"STABLE",0
"4096",11.730843973164827,3563.584051324038,2000,37.423654,69.42320000000002,89.95754999999998,166.81986999999995,4745.550984,7851.377799999999,8671.2929,10162.41521,15.55111387183391,18.601,24.933,63.519,0,0,8,"STABLE",0
"1024",11.835911771917957,3595.501442161465,2000,37.913674,65.02320000000002,124.1634,154.41764999999998,4486.0716765,7420.4792,8226.0762,9567.07704,14.710667638772835,17.943,19.514,46.446,0,0,133,"STABLE",0
"256",12.005431088948605,3646.997850769718,2000,53.6250655,100.56220000000005,111.38385,139.01108999999997,4002.4164925,6593.306700000001,7261.753349999999,8505.75735,13.120653238830963,16.453,16.891,17.957,0,0,958,"STABLE",0
"64",12.012702471847781,3649.2067441954473,2000,65.2048985,100.64590000000001,114.0003,142.88113,3996.7701815,6584.233900000001,7203.643449999999,8528.578000000001,13.087952889731454,16.379,17.094,17.605,0,0,1410,"STABLE",0
"16",12.027049869482756,3653.565182301602,2000,77.670123,97.58000000000001,105.55704999999999,126.97307999999997,4002.8892085,6547.7727,7224.67185,8483.99776,13.093489967930406,16.409,16.951,17.758,0,0,1994,"STABLE",0
"0",12.021597954799201,3651.9090051109465,2000,77.514054,96.70530000000001,103.6326,119.51020999999997,4003.2048769999997,6577.0457,7309.90775,8477.00539,13.09454184735401,16.352,16.779,17.437,0,0,2000,"STABLE",0
"always",12.021597954799201,3651.9090051109465,2000,77.514054,96.70530000000001,103.6326,119.51020999999997,4003.2048769999997,6577.0457,7309.90775,8477.00539,13.09454184735401,16.352,16.779,17.437,0,0,2000,"STABLE",0
