arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","0.05","42",0.4074860887669267,101.72308083082373,280,228.50619285714285,501.77599999999995,581.2366999999999,680.2664099999992,5068.538214285714,11941.8609,19059.25380000002,38927.49297999998,19.463233732655347,21.126,21.919,23.29,0,0,0,"STABLE",0
"agg-4xtp4","0.05","123",0.28590418654246363,79.60716170088358,250,247.051416,549.9042999999999,665.1678499999997,847.9775799999993,5653.666608,15456.092099999996,27282.719449999902,40336.50945,19.48471089965398,21.157,21.958,23.137,0,0,0,"STABLE",0
"agg-4xtp4","0.05","777",0.2156756915467835,62.889234357612516,240,249.3326291666667,537.5612999999998,661.84115,787.1505099999996,5804.772291666667,13309.6502,32300.16214999998,39616.84619,19.11501016604055,20.259,20.736,22.357,0,0,0,"STABLE",0
"agg-4xtp4","0.1","42",0.664979871125799,164.23292868567196,350,224.88580571428574,495.7429,580.1038000000001,743.5248599999998,5260.100077142857,12342.204200000006,18554.40475000003,41228.999939999994,20.467331602606546,22.926,23.819499999999998,39.224,0,0,0,"STABLE",0
"agg-4xtp4","0.1","123",0.43054868915822675,115.57618258285642,280,253.37975357142855,534.674,655.3109000000001,796.0643999999999,5604.817278571429,14211.213099999999,24582.9298,40451.84219999998,20.007010229291026,22.382,24.17,29.775,0,0,0,"OVERLOADED",0.28979618338879476
"agg-4xtp4","0.1","777",0.3546304277227803,101.42855789384785,250,255.710196,613.3061999999999,707.6762499999999,949.65655,5951.584012,14525.200799999999,33886.69289999994,41879.185789999996,19.981954500161397,21.901,22.233,25.144,0,0,0,"STABLE",0
"agg-4xtp4","0.2","42",0.9639927176804739,237.70593472560537,460,233.86438043478262,501.48720000000003,575.0382499999997,726.3098699999999,5676.7758413043475,13515.537200000008,24157.153349999997,46820.935159999986,22.15990096398127,25.988,27.5,45.088,0,0,0,"STABLE",0
"agg-4xtp4","0.2","123",0.717814531792087,206.91091417264445,410,248.7512268292683,513.7098000000001,612.6005499999998,830.1623399999991,6560.653146341464,17158.87640000001,36330.040099999984,47409.601149999995,21.970750655922835,26.344,27.538,43.654,0,0,0,"OVERLOADED",0.37651095589970757
"agg-4xtp4","0.2","777",0.6824374460775989,195.063370003847,390,243.7195205128205,532.0601,626.19125,762.5741400000004,6416.202879487179,13829.692000000015,33727.91769999998,48168.047210000004,21.667781248593418,25.376,27.296,43.502,0,0,0,"STABLE",0
"agg-4xtp4","0.3","42",1.2444541046858715,299.7567301938901,540,238.1831888888889,498.0187,577.50395,801.382240000001,5785.934072222222,13412.104800000001,20718.549849999985,45866.69709000003,23.124524418676465,27,30.084,46.973,0,0,0,"STABLE",0
