threshold,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"never",0.7543881661571475,341.7892494256963,675,501.0782074074074,1201.6570000000002,1645.3571999999988,2407.449099999999,5638.935810370371,13631.6738,20280.832899999994,45259.56805999997,11.365228061321465,11.988,12.857,15.608,0,0,0,"OVERLOADED",0.3245941975810131
"16384",0.7567750793495488,342.87068376556795,675,482.1592474074074,1206.9896000000003,1593.2254,2778.529719999997,5526.761777777778,13271.984200000004,19969.622199999973,44642.87925999997,11.166513082262261,12.01,12.866,14.521,0,0,16,"OVERLOADED",0.2530754009364509
"4096",0.7688186307520374,348.3272332966205,675,345.63502222222223,725.619,898.9714999999991,1298.6710799999998,4790.047088888889,11804.821800000002,18312.920099999996,37317.14721999998,10.012188431111664,11.831,12.633,13.775,0,0,489,"STABLE",0
"1024",0.7692400421893633,348.51816139613817,675,333.9731688888889,602.7302,752.0519999999999,1017.9676799999996,4731.318613333333,12016.576000000008,18056.523799999988,35119.38921999999,9.946985597058458,11.965,12.738,14.066,0,0,646,"STABLE",0
"256",0.7690133352016294,348.41544768103336,675,323.15788592592594,553.0042,655.3291999999997,870.3569399999997,4680.42248,11299.0614,17607.7777,36844.353239999975,9.856776090789326,11.855,12.692,14.038,0,0,674,"OVERLOADED",0.24428070488906872
"64",0.7699924501498788,348.85905347746086,675,332.75234222222224,597.2601999999999,722.402499999999,971.7172199999999,4700.064952592593,11603.3628,17767.710899999995,37255.53868,9.88333130698092,11.914,12.664,14,0,0,675,"STABLE",0
"16",0.7699924501498788,348.85905347746086,675,332.75234222222224,597.2601999999999,722.402499999999,971.7172199999999,4700.064952592593,11603.3628,17767.710899999995,37255.53868,9.88333130698092,11.914,12.664,14,0,0,675,"STABLE",0
"0",0.7699924501498788,348.85905347746086,675,332.75234222222224,597.2601999999999,722.402499999999,971.7172199999999,4700.064952592593,11603.3628,17767.710899999995,37255.53868,9.88333130698092,11.914,12.664,14,0,0,675,"STABLE",0
"always",0.7699924501498788,348.85905347746086,675,332.75234222222224,597.2601999999999,722.402499999999,971.7172199999999,4700.064952592593,11603.3628,17767.710899999995,37255.53868,9.88333130698092,11.914,12.664,14,0,0,675,"STABLE",0
