threshold,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"never",11.74965257305436,3569.2977089898804,2000,36.3884905,68.40950000000001,84.8865,140.69437000000002,4723.7463805,7789.397500000001,8627.817799999999,10169.57025,15.481119529425753,18.592,24.23,62.201,0,0,0,"STABLE",0
"16384",11.74965257305436,3569.2977089898804,2000,36.3884905,68.40950000000001,84.8865,140.69437000000002,4723.7463805,7789.397500000001,8627.817799999999,10169.57025,15.481119529425753,18.592,24.23,62.201,0,0,0,"STABLE",0
"4096",11.742953442624414,3567.2626538470017,2000,37.005463000000006,71.59090000000005,86.95514999999999,149.80798,4747.729416,7802.758000000001,8681.74155,10235.58575,15.559679436156404,18.503,24.962,64.303,0,0,8,"STABLE",0
"1024",11.792371757632845,3582.274900161948,2000,36.280373,64.36890000000001,96.05799999999999,132.51504,4497.030375,7406.0115,8231.483649999998,9619.279879999998,14.753475462300887,18.204,19.384,47.493,0,0,146,"STABLE",0
"256",12.028808780510765,3654.0995025347797,2000,39.3063255,71.5818,84.74379999999998,118.06781,3984.1503654999997,6560.354700000002,7221.17455,8474.50581,13.102103824901992,16.283,16.73,18.23,0,0,885,"STABLE",0
"64",12.032309325453037,3655.162894576798,2000,46.32357,71.84270000000001,84.82005,114.35032999999999,3982.147795,6577.750600000001,7230.9532500000005,8481.4257,13.101337525059533,16.392,16.997,18.191,0,0,1395,"STABLE",0
"16",12.019800481769229,3651.362970551375,2000,51.3549225,68.286,77.8346,95.73240999999997,3978.9808700000003,6565.352900000001,7235.1488,8372.251189999999,13.100054787485261,16.432,16.959,17.683,0,0,1994,"STABLE",0
"0",12.013310315350235,3649.3913942867794,2000,51.4056515,69.16170000000002,77.20969999999998,92.96743,3980.2156025,6528.609200000001,7286.329949999999,8444.448919999999,13.104830967471324,16.408,16.861,17.561,0,0,2000,"STABLE",0
"always",12.013310315350235,3649.3913942867794,2000,51.4056515,69.16170000000002,77.20969999999998,92.96743,3980.2156025,6528.609200000001,7286.329949999999,8444.448919999999,13.104830967471324,16.408,16.861,17.561,0,0,2000,"STABLE",0
