arm,chat_rate,code_rate,arrival,seed,throughput_rps,tokens_per_sec,completed,goodput,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","50","0.5","poisson","42",4.526544930843171,1459.2203212928996,2300,0.9704347826086956,83.82452217391305,104.9979,189.67399999999975,506.41858999999823,10421.754265217392,16944.777,19327.570149999978,31218.471079999847,32.16593561388081,43.145,46.402,54.466,0,0,0,"STABLE",0
"agg-4xtp4","50","0.5","poisson","123",5.2238938182557835,1620.948665386068,2450,0.9755102040816327,92.5181036734694,147.17279999999997,248.48979999999955,506.6945399999972,10455.483413469387,17543.793499999992,20254.6191,35390.43311999988,33.502594258438876,43.304,45.623,57.08,0,0,0,"OVERLOADED",0.10662681017325557
"agg-4xtp4","50","0.5","poisson","777",5.027923899359317,1554.8742093308254,2345,0.9863539445628998,82.55125884861407,110.22699999999996,199.04439999999926,374.5145199999999,9839.607930916844,16508.1796,18518.072999999986,29730.350759999976,31.650772204399033,41.165,43.314,50.681,0,0,0,"STABLE",0
"agg-4xtp4","50","0.5","weibull","42",4.18542778018561,1356.2825517101044,2360,0.9796610169491525,84.52527288135593,112.10289999999996,207.58889999999965,397.6811899999999,10847.24962118644,17661.5066,19747.002,35773.00871999989,33.31369662969983,43.73939999999991,46.299,52.745,0,0,0,"STABLE",0
"agg-4xtp4","50","0.5","weibull","123",5.089596514350727,1590.5054638631614,2330,0.9781115879828326,87.81383347639485,117.91749999999998,237.5256999999994,516.8975800000007,10005.79091030043,16479.147999999997,18701.66569999997,31029.70603000001,31.836786790539517,41.921,43.707,50.992,0,0,0,"STABLE",0
"agg-4xtp4","50","0.5","weibull","777",5.612379243828228,1658.52338877997,2105,0.995249406175772,66.8291729216152,81.9166,89.58539999999999,267.9159600000004,8789.312666033255,14648.015000000001,16307.8692,19426.405680000007,29.61413180158949,38.42,40.439,46.4,0,0,0,"STABLE",0
"agg-4xtp4","50","1","poisson","42",4.554564359184265,1508.0095614371464,2720,0.8790441176470588,110.08609816176471,218.0957,319.13944999999995,562.5788499999998,12400.842659191176,20574.412500000002,24958.126949999987,57765.15276,37.23124602502818,50.689,57.36864999999991,63.746,0,0,0,"OVERLOADED",0.20890695323103872
"agg-4xtp4","50","1","poisson","123",4.612510176822498,1501.4869649444695,2810,0.8234875444839858,116.7887384341637,232.41429999999994,353.4046999999998,593.1673899999995,12693.013324911031,21787.729,26763.52295,54028.841049999784,38.75033058782891,53.665,57.696,66.145,0,0,0,"OVERLOADED",0.34917050385728243
"agg-4xtp4","50","1","poisson","777",4.377904061905537,1437.1993343204997,2795,0.9101967799642218,112.99459069767441,223.75359999999995,330.13739999999996,529.1917599999988,12383.992592128801,20925.769600000003,25548.987999999936,62768.021139999924,37.490959604749214,49.28,52.443,61.931,0,0,0,"STABLE",0
"agg-4xtp4","50","1","weibull","42",4.8423276233824595,1649.922122223774,3020,0.6725165562913907,131.48581523178808,278.4984999999999,394.43984999999986,625.1286499999994,14779.996925827814,25863.723700000002,32220.963199999973,79466.88744999995,43.11591920131153,60.544,66.119,75.862,0,0,0,"OVERLOADED",0.32264881792517136
"agg-4xtp4","50","1","weibull","123",4.919783758256522,1562.8712607017528,2630,0.9258555133079848,102.95665247148288,189.76389999999998,297.00769999999955,512.0162900000005,11517.675950190114,19676.5469,22985.922749999994,41074.604580000014,36.04356667395095,47.225,50.732,60.744,0,0,0,"OVERLOADED",0.2337008937135319
"agg-4xtp4","50","1","weibull","777",4.738579047832842,1436.3619404552387,2210,0.9814479638009049,80.05089909502263,92.17110000000001,159.46714999999944,532.1007399999985,9268.431454751131,15350.480099999999,17320.63609999999,21974.66558999994,30.41036272684656,40.993,43.054,48.755,0,0,0,"STABLE",0
"agg-4xtp4","50","5","poisson","42",4.9023681188392105,1713.8154127665266,3998,0.1165,242.36086725,575.4745999999999,791.4528999999998,1224.2024399999991,22905.470816408204,41455.445700000004,63311.693849999974,146323.91524999996,65.01164580959488,86.638,92.877,105.66,2,0,0,"OVERLOADED",0.527555474395543
"agg-4xtp4","50","5","poisson","123",4.373217865598973,1498.9556203585198,3976,0.13018346318170396,233.77141216386025,532.1794000000001,745.7863,1142.1186999999998,22171.55824924547,41290.379,59881.35875,141139.516,64.1891922896904,87.063,94.029,108.632,3,0,0,"STABLE",0.0007539582809751311
"agg-4xtp4","50","5","poisson","777",4.355614049528664,1542.564423413251,3950,0.1468655207280081,226.82279878665318,503.2265,709.763,1207.406249999999,22469.732602278484,40175.691,57983.579299999874,160272.8908199989,62.98193510728592,87.519,94.929,108.705,6,0,0,"OVERLOADED",0.5517156868706099
"agg-4xtp4","50","5","weibull","42",4.8360156282334135,1713.9530591091739,4002,0.0899325505870597,237.83130227329502,549.2786,765.9970999999998,1202.6092200000003,23576.774427286357,42331.2578,66288.64444999995,152344.0632399998,66.03624365227057,89.138,95.465,107.867,1,0,0,"OVERLOADED",0.47479444745267496
"agg-4xtp4","50","5","weibull","123",4.51290221242375,1567.75972035555,4010,0.17905236907730673,236.0991842892768,537.5975,739.5242,1186.557549999999,22398.203565586035,41975.7415,60976.195899999984,150891.03050999998,63.97703945951316,91.196,96.787,109.556,0,0,0,"OVERLOADED",0.5077579112108134
"agg-4xtp4","50","5","weibull","777",4.34258734727713,1539.417171552623,3975,0.21030150753768845,225.27818969849247,488.3080999999998,721.8572499999997,1148.82061,22134.92799672956,39933.728999999985,56607.65799999999,162387.60619999946,61.97907704241941,85.503,90.072,102.618,5,0,0,"OVERLOADED",0.610667076617955
"agg-4xtp4","50","10","poisson","42",4.88902416750467,1721.2236653418895,4001,0.0769615192403798,238.4066524237881,540.7472,788.1512999999998,1134.1084499999984,23567.48591752062,41588.222,63692.068,148152.949,66.45154640014923,87.585,93.676,104.013,1,0,0,"OVERLOADED",0.454876334066971
"agg-4xtp4","50","10","poisson","123",4.545123055048266,1558.4967267128864,3973,0.13229376257545272,233.60247560362174,525.495,725.75475,1156.94225,22784.546622954946,40969.22980000002,57702.624799999976,149517.97668,65.9568623892587,90.787,98.118,111.819,3,0,0,"OVERLOADED",0.44414012033065137
