arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score,goodput_rps,slo_attainment
"pd-2p2d-thresh16","10","42",8.45810262527854,2574.6445896954383,2744,96.4141774781341,120.28580000000001,122.67219999999999,182.40346000000002,17695.297276967933,32690.431700000012,37697.09724999999,45240.928390000015,57.7019847464773,83.139,84.454,85.183,0,0,2744,"STABLE",0,2.4042711544159117,0.28425655976676384
"pd-2p2d-thresh16","10","123",9.287575255964608,2775.449760268429,2928,94.96354849726777,119.33,121.41615,184.00466,17289.86699965847,32753.601000000006,37583.34725,46973.066640000005,56.360796140173846,82.89,83.856,84.956,0,0,2923,"STABLE",0,3.346445319345171,0.3603142076502732
"pd-2p2d-thresh16","10","777",8.936071456501086,2661.4103039531483,2880,98.70113715277778,120.5364,122.86815,184.36833000000004,18022.776934027777,33951.784999999996,37753.8114,45358.335380000004,59.89092093947107,83.322,84.371,85.211,0,0,2880,"STABLE",0,2.2960739159065287,0.2569444444444444
"pd-2p2d-thresh16","20","42",9.63522522106358,2919.8141709170045,3024,103.55421336274819,129.4806,132.7654,187.21571999999995,21104.184978569177,41044.15660000002,46373.03339999998,56378.016159999985,67.39008461332122,91.506,92.47,93.404,0,0,3024,"STABLE",0,1.940427301464193,0.19193192562243933
"pd-2p2d-thresh16","20","123",9.457295373928782,2839.5496476718477,2876,99.2015416933932,121.5886,125.10244999999999,183.59739999999996,19611.134515073765,38793.86200000001,43857.337149999985,54092.20848999999,66.11949716723097,82.725,83.75,92.802,0,36,2876,"STABLE",0,1.8020159474662631,0.17575368826170623
"pd-2p2d-thresh16","20","777",9.584135229217077,2857.4761990354614,2956,102.52221853257431,122.11280000000001,125.39285,296.16447999999895,19363.596511701453,38535.539,43126.1008,51966.977859999985,64.5595566524167,83.071,84.388,92.455,0,37,2956,"STABLE",0,1.9939929519514556,0.19449715370018975
"pd-2p2d-thresh16","50","42",7.555273374670292,2298.886899040202,1860,142.60936743215032,125.9768,865.919999999996,1372.25066,12423.65427473904,29682.995999999996,37129.883699999984,44087.66733999999,47.69833521777437,81.711,87.643,92.086,0,51,1860,"STABLE",0,4.618465498387162,0.47473903966597075
"pd-2p2d-thresh16","50","123",7.682422811157547,2302.6403105859185,1852,151.26516659690247,127.94700000000006,990.6307999999998,1396.4588399999996,11918.542376308078,29113.185000000005,36569.80999999999,43482.769039999985,46.648038565192635,81.675,81.826,91.805,0,42,1852,"STABLE",0,5.8198915788628724,0.5872750104646296
"pd-2p2d-thresh16","50","777",7.7686920916990685,2313.0868352073694,1884,139.39237463738084,125.44780000000002,796.1218,1427.6239200000002,12272.24225777041,28927.407400000007,36533.5276,43113.00476000002,47.88226812170992,81.696,88.851,91.787,0,57,1884,"STABLE",0,5.265721762791778,0.5292167426440116
"pd-2p2d-thresh16","100","42",6.929753236877042,2102.4358005630365,1620,311.7259255079006,1427.7996000000023,2097.0073999999995,2328.0533800000003,11161.693303386004,28757.49620000001,36349.91579999998,42549.56698000001,45.09508327209335,81.319,81.748,91.491,0,38,1620,"STABLE",0,5.0005441567341125,0.5277652370203161
