arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score,goodput_rps,slo_attainment
"agg-4xtp4","0.2","42",0.20018432816793927,102.97541896257246,1000,311.313851,1278.0904,1654.9941499999998,1829.084,9305.447452999999,16541.2116,18367.429799999994,22800.26285,17.517148520752706,19.781,20.47,20.687,0,0,0,"STABLE",0,0.20018432816793927,1
"agg-4xtp4","0.2","123",0.19093777877399012,98.28464881057509,1000,291.107598,1164.6262000000002,1479.0507999999995,1829.084,9240.21824,15590.423,17194.371750000002,20805.027319999997,17.417782764668214,19.495,20.103,20.524,0,0,0,"OVERLOADED",0.03373389316975179,0.19093777877399012,1
"agg-4xtp4","0.2","777",0.21325894333644957,109.84989497154851,1000,303.81959,1202.0911,1594.3336000000002,1829.084,9327.027724,16408.570200000002,18148.361599999997,21946.659889999995,17.549919439954408,19.762,20.313,23.087,0,0,0,"STABLE",0,0.21325894333644957,1
"agg-4xtp4","0.5","42",0.4986991654191171,256.53234678909007,1000,320.589759,1299.8834000000004,1678.4358499999998,1918.04423,9686.872008,17036.052,19431.228749999995,24683.683279999997,18.242015042763676,20.536,21.582,36.922,0,0,0,"STABLE",0,0.4986991654191171,1
"agg-4xtp4","0.5","123",0.4753118924866402,244.66537072182058,1000,299.63266600000003,1206.7772000000002,1500.0538499999998,1841.1629799999998,9566.262069,16341.4412,18112.078999999994,21440.14467,18.035827757631676,20.22,20.7,25.802,0,0,0,"STABLE",0,0.4753118924866402,1
"agg-4xtp4","0.5","777",0.5312860366171804,273.66596874754623,1000,313.76681199999996,1218.8196,1602.9028,1854.25415,9698.556154,17214.995600000002,19060.0804,23711.76357,18.253246622745337,20.493,22.065,37.999,0,0,0,"STABLE",0,0.5312860366171804,1
"agg-4xtp4","1","42",0.9866059520413767,507.5130615479403,1000,335.60904,1326.7477000000001,1729.9389499999995,1991.22327,10496.618926000001,18370.0979,21442.046499999997,26509.750819999994,19.789975683819534,23.105,25.528,46.444,0,0,0,"STABLE",0,0.9866059520413767,1
"agg-4xtp4","1","123",0.9404601117207552,484.09902112792355,1000,314.376079,1230.9627,1544.822,1921.25565,10242.875096999998,17645.0564,19612.793299999998,24370.23217,19.3241459667891,22.572,24.202699999999954,44.23453999999998,0,0,0,"STABLE",0,0.9404601117207552,1
"agg-4xtp4","1","777",1.055219447994953,543.5445928816483,1000,334.463331,1264.9174,1660.8053999999995,1973.03034,10473.998779,18272.9493,20788.572999999997,26089.697809999998,19.721335784213608,23.335,26.633,46.159,0,0,0,"STABLE",0,1.055219447994953,1
"agg-4xtp4","2","42",1.9154250871674523,985.3004111141989,1000,391.99569099999997,1436.5868000000003,1857.2293,2213.26597,12503.504257999999,22228.656000000003,25551.96239999999,33719.229719999996,23.589132839114693,31.54,44.923,54.276,0,0,0,"STABLE",0,1.9154250871674523,1
"agg-4xtp4","2","123",1.8406769453184175,947.4829355718194,1000,355.650854,1318.709,1649.2412999999995,2023.2513,11897.018576999999,20582.6744,22656.63415,29068.52726,22.463568104533945,28.783,41.263,50.845,0,0,0,"STABLE",0,1.8406769453184175,1
"agg-4xtp4","2","777",2.0715189944164027,1067.0415055428834,1000,412.878807,1529.92,1865.5206499999997,2387.316209999999,12545.935908,22148.9302,24996.6671,34315.44048,23.599020622406883,32.415,45.257,54.521,0,0,0,"STABLE",0,2.0715189944164027,1
"agg-4xtp4","5","42",4.014604714432214,2065.1247089180742,1000,1460.824298,3997.4712000000018,5662.286349999999,9975.73025,25116.211732,46045.9412,52234.525799999996,67165.50512999998,46.07415701505445,71.101,77.011,91.229,0,0,0,"STABLE",0,4.014604714432214,1
"agg-4xtp4","5","123",4.255127215538363,2190.3139688167257,1000,832.1082210000001,2386.9119,2958.3298,3972.3850399999997,21522.815314,37545.122,43757.6222,54324.430879999985,40.27260517920299,63.156,69.729,74.255,0,0,0,"STABLE",0,4.255127215538363,1
"agg-4xtp4","5","777",4.4895981689766495,2312.596506438041,1000,1834.53954,5530.286100000001,6978.613449999998,9138.83972,27447.166628,50629.1303,59269.91934999999,74280.11741999997,49.81871283658269,79.271,85.652,93.052,0,0,0,"STABLE",0,4.4895981689766495,1
"agg-4xtp4","10","42",4.58250131911883,2357.2524260586833,1000,19099.863923,37864.878600000004,48011.79524999991,74128.58344,59335.113230999996,96019.7573,104349.28185,119458.69944999999,78.36820647327733,100.011,102.722,108.077,0,0,0,"OVERLOADED",1,2.066708094922592,0.451
"agg-4xtp4","10","123",5.342073934987045,2749.8165318127767,1000,16125.665641000001,34446.2485,40445.34494999999,46102.44547999999,54496.475677,84654.4039,92823.54499999998,104980.0579,74.68663181682813,95.993,97.961,102.583,0,0,0,"OVERLOADED",0.8271567617164785,2.692405263233471,0.504
"agg-4xtp4","10","777",5.241857001857929,2700.085783514021,1000,23379.566048999997,53546.0394,59951.776999999995,68422.36908,61958.436112999996,97437.1504,103397.5855,114576.58910999999,75.03991057010198,93.485,96.075,100.078,0,0,0,"OVERLOADED",0.8479724259935982,2.6156866439271065,0.499
"agg-4xtp4","20","42",4.600930727798043,2366.732569171497,1000,40705.982007,80702.8185,88024.48814999995,121298.94126,81581.967578,124637.39600000001,138346.28975,155535.90459,79.61622462471003,100.304,103.07,108.183,0,0,0,"OVERLOADED",1,1.1180261668549245,0.243
"agg-4xtp4","20","123",5.510045062856638,2836.279165970266,1000,38232.893116,75940.3885,84098.2565,89222.04608,77890.71806700001,118972.18470000001,123910.31255,131175.21373,77.19178496614093,96.264,98.104,102.566,0,0,0,"OVERLOADED",1,1.553832707725572,0.282
"agg-4xtp4","20","777",5.330493047632481,2745.7422993285386,1000,44031.187773000005,91951.9396,101016.80075,110093.56269,83333.14809,128916.3633,134739.37819999998,141301.40206999998,76.44642456832412,94.519,97.013,100.833,0,0,0,"OVERLOADED",1,1.2473353731460006,0.234
"agg-4xtp4","50","42",4.607976619495271,2370.3569969982254,1000,54821.205431,107664.32,115635.93209999996,149742.12796,95813.22213,146052.4069,158577.10679999998,182718.49495,79.8422286176746,100.303,103.04,108.18,0,0,0,"OVERLOADED",1,0.8985554408015778,0.195
"agg-4xtp4","50","123",5.5367882426877495,2850.045137558791,1000,52913.262962,102852.00159999999,111882.34705,118069.28672999999,92648.32552599999,142124.5734,147424.70135,156113.95288000003,77.34212669660357,96.101,98.336,101.356,0,0,0,"OVERLOADED",1,1.1737991074498029,0.212
"agg-4xtp4","50","777",5.442880461167859,2803.6331684280253,1000,57592.577384000004,115799.0691,122971.39224999999,131693.59811999998,96896.51619699999,149195.6448,154716.67489999998,161175.31722,76.45027302611743,94.179,97.227,101.192,0,0,0,"OVERLOADED",1,1.039590168083061,0.191
"agg-4xtp4","100","42",4.610330147309361,2371.5676587663775,1000,59762.361832,117032.3493,124498.50164999993,159288.43524000002,100755.44836200001,154227.4835,164686.00494999997,191422.79829,79.84431242123634,100.304,103.043,108.179,0,0,0,"OVERLOADED",1,0.8436904169576132,0.183
"agg-4xtp4","100","123",5.541544345618452,2852.4933272740614,1000,57876.668828,111834.5915,121155.92375,128384.78341999998,97613.66098199999,150740.12709999998,155812.6647,164833.5918,77.34588261147998,96.103,98.315,101.366,0,0,0,"OVERLOADED",1,1.1304750465061641,0.204
"agg-4xtp4","100","777",5.355558357821714,2758.6534656723225,1000,62200.770374,122050.8023,132799.69155,143244.64020999998,101465.840322,157805.35170000003,163389.78379999998,169615.67872999999,76.37466752252962,93.796,96.114,100.435,0,0,0,"OVERLOADED",1,0.9961338545548387,0.186
"pd-1p3d-thresh16","0.2","42",0.20018523740572866,102.97588667721904,1000,367.326582,1361.8921,1754.4359999999997,1884.23691,9305.271884,16430.0215,18261.111449999997,22768.22538,17.565476356780152,19.995,20.504,21.493,0,0,1000,"STABLE",0,0.20018523740572866,1
"pd-1p3d-thresh16","0.2","123",0.19093830237424023,98.28491833223303,1000,350.956278,1264.5027000000005,1536.4771500000002,1882.2803,9257.313962999999,15601.8159,17356.08904999999,20730.076719999997,17.49240066997958,19.685,20.213699999999953,21.19253999999998,0,0,1000,"STABLE",0.03117991761180494,0.19093830237424023,1
"pd-1p3d-thresh16","0.2","777",0.21326014449903866,109.85051369159932,1000,364.146406,1290.5213,1666.6421999999989,1884.21972,9331.295342,16352.6961,18315.741649999996,22031.249819999994,17.59816374019891,20.01,20.436,22.219,0,0,1000,"STABLE",0,0.21326014449903866,1
"pd-1p3d-thresh16","0.5","42",0.4987292687444538,256.54783202995327,1000,430.762495,1485.7653,1857.3470499999994,2339.2774599999993,9710.59706,17064.9598,19366.29485,23876.650469999997,18.22645149911473,20.745,22.463,24.508,0,0,1000,"STABLE",0,0.4987292687444538,1
"pd-1p3d-thresh16","0.5","123",0.47516497265752733,244.58974418054422,1000,408.240297,1354.2150000000001,1645.5836,2148.7234399999993,9608.434642,16122.7157,18143.356499999994,21837.82544,18.059103311552185,20.58,21.642,23.326,0,0,1000,"STABLE",0,0.47516497265752733,1
"pd-1p3d-thresh16","0.5","777",0.5313011732188788,273.6737656262177,1000,465.756751,1579.4230000000002,1884.21125,2722.227849999999,9770.644132,17061.628,19127.907799999997,23668.86654,18.25156676995376,20.706,22.328,24.232,0,0,1000,"STABLE",0,0.5313011732188788,1
"pd-1p3d-thresh16","1","42",0.9857987420358293,507.0978302994567,1000,560.8813719999999,1773.7094,1975.3620499999997,2797.8934399999994,10543.427509,18181.8848,21355.797599999998,25713.668619999997,19.59775886584223,23.626,25.023,28.131,0,0,1000,"STABLE",0,0.9857987420358293,1
"pd-1p3d-thresh16","1","123",0.940016804812022,483.8708302265739,1000,521.450587,1530.9288999999999,1847.8044499999999,2881.37943,10306.331237,17182.3416,19560.117599999998,23307.53247,19.199833394647563,22.963,23.839,26.15,0,0,1000,"STABLE",0,0.940016804812022,1
"pd-1p3d-thresh16","1","777",1.0541993920510118,543.0191610448682,1000,680.725519,1884.735,2542.7165999999997,4193.0418199999995,10658.146587,18464.5975,20973.390549999996,26818.716549999997,19.56261034310379,23.566,24.839,27.58,0,0,1000,"STABLE",0,1.0541993920510118,1
"pd-1p3d-thresh16","2","42",1.91148987580343,983.2761265829118,1000,1146.199102,2873.8963,3747.5346999999992,4998.465969999999,12816.766674,21638.8989,25775.079899999993,32010.565939999997,22.899427299801523,29.491799999999987,31.784,34.789,0,0,1000,"STABLE",0,1.91148987580343,1
"pd-1p3d-thresh16","2","123",1.8335465145915364,943.8125677464496,1000,865.6894100000001,2180.4172000000003,2744.934849999998,3683.0611499999995,12088.324129,20233.7287,22820.252999999993,27718.775549999995,22.008726195968055,27.276,29.927,32.859,0,0,1000,"STABLE",0,1.8335465145915364,1
"pd-1p3d-thresh16","2","777",2.064063647928998,1063.2012491118746,1000,1422.79069,3880.446700000001,5430.91415,6826.823139999999,13009.543843,22073.0957,25377.408499999998,31984.10761,22.705957910994144,28.101,29.935,33.488,0,0,1000,"STABLE",0,2.064063647928998,1
"pd-1p3d-thresh16","5","42",3.1635101104786623,1627.3190913605554,1000,44805.097780000004,76864.67990000002,82119.66434999999,88953.11873,60046.721208999996,93519.014,99841.6047,108757.87096999999,29.88336519459372,38.812,40.992,42.549,0,0,1000,"OVERLOADED",0.9957164551570616,0.5346332086708939,0.169
"pd-1p3d-thresh16","5","123",3.400289256486529,1750.2886939086711,1000,33688.605303000004,53770.3491,54749.34645,56684.09327,48933.35071100001,72771.1293,78355.66094999999,87445.87758999999,29.867243277333007,38.802,41.896,46.805,0,0,1000,"OVERLOADED",0.8811281272117967,0.5712485950897368,0.168
"pd-1p3d-thresh16","5","777",3.3178424926273804,1709.0239857948563,1000,50700.460759999994,83085.34240000001,88911.64705,90713.74943,65329.841869,100021.3606,105393.27004999999,112959.68646,28.647885930974653,35.684,38.088,44.136,0,0,1000,"OVERLOADED",1,0.5308547988203809,0.16
"pd-1p3d-thresh16","10","42",3.190230493355587,1641.064136473594,1000,92253.779441,164784.1669,175275.9088,185265.55965,107537.05185999999,179361.68050000002,192521.81639999998,200999.02177,29.96433220296726,38.813,40.993,42.543,0,0,1000,"OVERLOADED",1,0.29031097489535845,0.091
"pd-1p3d-thresh16","10","123",3.4092853352097134,1754.9193984431943,1000,83702.67785,147772.1851,152612.39805,159932.03336,98949.766605,163423.79090000002,169443.3512,183512.77562,29.871620030871224,38.804,41.896,46.805,0,0,1000,"OVERLOADED",1,0.2863799681576159,0.084
"pd-1p3d-thresh16","10","777",3.3232138480766937,1711.790776358153,1000,96935.981544,165341.783,178681.01609999998,182714.1152,111566.053499,183302.9662,189614.88989999998,201904.48799,28.648578720912816,35.685,38.089,44.138,0,0,1000,"OVERLOADED",1,0.3489374540480528,0.105
"pd-1p3d-thresh16","20","42",3.1904466185303355,1641.17531191186,1000,117226.866108,210054.02930000002,223317.4649,234600.29177,132514.528143,224844.1318,240196.70029999994,249677.68667,29.973675521958384,38.875,40.979,42.531,0,0,1000,"OVERLOADED",1,0.2169503700600628,0.068
"pd-1p3d-thresh16","20","123",3.413607511375702,1757.1442256581083,1000,108709.71545999999,194327.5044,202030.527,211580.36159,123957.170512,210839.0907,218597.84124999997,233498.84961,29.872845098852157,38.802,41.895,46.805,0,0,1000,"OVERLOADED",1,0.1911620206370393,0.056
"pd-1p3d-thresh16","20","777",3.3259970043543223,1713.2243829399158,1000,120057.384735,206932.0979,222827.16455000002,228961.95857,134687.999125,225002.614,234162.92595,246558.00945,28.649759055127298,35.683,38.087,44.137,0,0,1000,"OVERLOADED",1,0.2694057573527001,0.081
"pd-1p3d-thresh16","50","42",3.1905664699853666,1641.2369638598825,1000,132211.39584800001,237215.98580000002,252123.3772,264247.03562000004,147499.05788299997,251721.5863,269558.03705,278726.09367,29.973675521958384,38.875,40.979,42.531,0,0,1000,"OVERLOADED",1,0.20100568760907808,0.063
