threshold,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"never",0.6501478099969437,294.56126429788935,675,143.91575259259258,282.03,355.30129999999974,528.6414399999998,11780.155158518519,30747.6438,44072.909599999984,93133.26243999999,25.738292895859686,31.332,33.743,45.275,0,0,0,"STABLE",0
"16384",0.6492450431956434,294.1522494150146,675,152.65647703703704,278.6326000000001,340.17959999999994,820.7537599999996,11669.449274074073,29297.642600000003,44691.28609999995,94197.62981999997,25.47961236260675,31.192,33.588,43.428,0,0,21,"STABLE",0
"4096",0.6532005606713627,295.9443683927064,675,368.836162962963,563.1516,600.2448999999998,679.27432,11762.634611851852,29821.396400000016,45225.758099999955,88929.65259999993,25.34527129964017,32.132,33.776,36.563399999998275,0,0,492,"STABLE",0
"1024",0.649386678285615,294.21641976294086,675,438.809082962963,559.2932000000001,586.2805999999999,648.5577799999999,11807.22477037037,30255.2838,46010.02709999996,92370.8082,25.33409237217594,32.035,34.33,37.127,0,0,650,"STABLE",0
"256",0.6530687983897797,295.8846710997938,675,449.1827925925926,559.5368,585.9584,649.7615999999999,11768.25250962963,29363.780600000002,46409.723399999995,96030.40367999999,25.23097078119982,32.138,35.792,39.639,0,0,674,"STABLE",0
"64",0.6505116170267918,294.7260936751859,675,449.40178962962966,557.693,586.5223,643.6223799999999,11747.346845925926,29795.80600000001,44165.855199999954,93786.89469999998,25.184530988444877,30.978,32.533,35.59,0,0,675,"STABLE",0
"16",0.6505116170267918,294.7260936751859,675,449.40178962962966,557.693,586.5223,643.6223799999999,11747.346845925926,29795.80600000001,44165.855199999954,93786.89469999998,25.184530988444877,30.978,32.533,35.59,0,0,675,"STABLE",0
"0",0.6505116170267918,294.7260936751859,675,449.40178962962966,557.693,586.5223,643.6223799999999,11747.346845925926,29795.80600000001,44165.855199999954,93786.89469999998,25.184530988444877,30.978,32.533,35.59,0,0,675,"STABLE",0
"always",0.6505116170267918,294.7260936751859,675,449.40178962962966,557.693,586.5223,643.6223799999999,11747.346845925926,29795.80600000001,44165.855199999954,93786.89469999998,25.184530988444877,30.978,32.533,35.59,0,0,675,"STABLE",0
