threshold,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"never",9.974795238525507,3030.1333227640403,2000,62.7997665,84.2643,91.6968,103.12808,9808.754839,16133.2283,17693.779749999998,20099.29483,32.185779306028486,44.161,47.533,50.413,0,0,0,"STABLE",0
"16384",9.974795238525507,3030.1333227640403,2000,62.7997665,84.2643,91.6968,103.12808,9808.754839,16133.2283,17693.779749999998,20099.29483,32.185779306028486,44.161,47.533,50.413,0,0,0,"STABLE",0
"4096",9.938490236693045,3019.104625612377,2000,62.4094415,83.2951,90.6045,105.20344,9805.2309755,16174.1813,17622.912649999995,20252.65586,32.17605195373523,44.234,47.545,50.45,0,0,4,"STABLE",0
"1024",9.971561952893115,3029.1511184879178,2000,66.4247285,97.63400000000004,118.2876,127.43124,9772.935788,16120.680000000002,17603.6793,20185.68335,32.07572657780097,44.081,47.539,50.45,0,0,150,"STABLE",0
"256",9.951596677709206,3023.086087157825,2000,84.45599899999999,118.0514,121.34965,125.78298,9689.2375935,15929.110100000005,17592.27995,20208.20596,31.837147480505585,44.199,47.458,50.57,0,0,920,"STABLE",0
"64",10.014836078314776,3042.296889034384,2000,95.375448,119.7161,122.17015,125.61634,9645.1365625,15936.7853,17453.773950000003,20268.051249999997,31.714548710445573,44.232,47.486,51.422,0,0,1392,"STABLE",0
"16",9.996911404237103,3036.851749467743,2000,108.70759050000001,120.66680000000001,122.7058,124.63409,9642.807278,15878.572500000002,17374.371099999997,19989.12918,31.742634211751806,43.346,47.293,50.329,0,0,1995,"STABLE",0
"0",10.009724447300552,3040.7440828765143,2000,108.8465595,120.8352,122.54755,125.01545,9635.8405155,15908.403200000002,17455.8156,20106.562739999998,31.71868726860185,44.461,47.293,50.329,0,0,2000,"STABLE",0
"always",10.009724447300552,3040.7440828765143,2000,108.8465595,120.8352,122.54755,125.01545,9635.8405155,15908.403200000002,17455.8156,20106.562739999998,31.71868726860185,44.461,47.293,50.329,0,0,2000,"STABLE",0
