sweep_param,param_value,instance_id,completed_requests,still_queued,still_running,injected_requests,total_input_tokens,total_output_tokens,vllm_estimated_duration_s,responses_per_sec,tokens_per_sec,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,scheduling_delay_p99_ms,preemption_count,dropped_unservable,length_capped_requests,throughput_per_gpu
isl,128,cluster,100,0,0,100,14266,25344,22.764616,4.392782201992777,1113.3067212730493,2677.50017,3558.2854,3724.0301999999997,4294.215940000004,28.96143,51.008700000000005,54.935399999999994,63.734110000000015,10.450358033459596,9.881,9.928,33.846,9.748199999999999,0,0,0,1113.3067212730493
isl,256,cluster,100,0,0,100,26134,25324,22.79442,4.387038582249516,1110.9736505688672,2948.9062200000003,3803.6561000000006,4097.8448,4353.549330000003,44.00792,64.8738,67.62684999999999,75.34031,11.470929947875533,10.027,10.443,53.834,9.86357,0,0,0,1110.9736505688672
isl,512,cluster,100,0,0,100,51415,25971,22.710759,4.403199382283965,1143.5549115729686,3949.7432000000003,5405.932500000002,5899.1206999999995,6334.746300000001,80.80589,106.35520000000001,113.371,123.64581000000003,14.897144160794733,10.831,63.163,96.215,10.21129,0,0,0,1143.5549115729686
isl,1024,cluster,100,0,0,100,100539,26041,23.863644,4.1904748495242385,1091.2415555646069,8878.626970000001,12734.857100000001,13616.0716,15772.681910000005,155.83117000000001,182.0034,187.39129999999997,192.78882000000002,33.496393379670515,140.811,160.983,181.113,14.28149,0,0,0,1091.2415555646069
isl,2048,cluster,100,0,0,100,204222,25148,37.769616,2.647630836384463,665.8262027339648,25481.98188,33017.872800000005,34287.010949999996,36359.297450000005,5536.04378,9385.3528,9783.6472,10169.85099,79.31421226340066,26.751,216.899,1182.376,8785.59399,0,0,0,665.8262027339648
