arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score,goodput_rps,slo_attainment
"agg-4xtp4","0.2","123",0.717814531792087,206.91091417264445,410,248.7512268292683,513.7098000000001,612.6005499999998,830.1623399999991,6560.653146341464,17158.87640000001,36330.040099999984,47409.601149999995,21.970750655922835,26.344,27.538,43.654,0,0,0,"OVERLOADED",0.37651095589970757,0.717814531792087,1
"agg-4xtp4","0.2","42",0.9639927176804739,237.70593472560537,460,233.86438043478262,501.48720000000003,575.0382499999997,726.3098699999999,5676.7758413043475,13515.537200000008,24157.153349999997,46820.935159999986,22.15990096398127,25.988,27.5,45.088,0,0,0,"STABLE",0,0.9639927176804739,1
"agg-4xtp4","0.2","777",0.6824374460775989,195.063370003847,390,243.7195205128205,532.0601,626.19125,762.5741400000004,6416.202879487179,13829.692000000015,33727.91769999998,48168.047210000004,21.667781248593418,25.376,27.296,43.502,0,0,0,"STABLE",0,0.6824374460775989,1
"agg-4xtp4","0.5","123",1.3853284548278142,391.22934953841866,660,250.76788636363636,507.8729,602.9568999999996,851.7648399999997,7379.807784848485,19143.0906,33551.14064999997,57117.26447999995,25.330606326387766,32.115,36.914,50.799,0,0,0,"OVERLOADED",0.4845487148574481,1.3853284548278142,1
"agg-4xtp4","0.5","42",1.514312795944782,365.4604643913238,640,249.3253515625,506.20810000000006,626.8126,817.60078,6103.8344546875005,14440.665700000001,23943.552149999978,48472.76810000001,24.3562993836792,28.833,34.686,48.576,0,0,0,"STABLE",0,1.514312795944782,1
"agg-4xtp4","0.5","777",1.1965538440585757,340.6196819499642,580,249.41953275862068,535.0932000000001,639.8964,869.2376400000003,7137.592946551725,18267.403200000004,34687.39644999985,55366.91340000002,24.279844159317317,30.475,34.568,49.44,0,0,0,"OVERLOADED",0.4843888084305871,1.1965538440585757,1
"agg-4xtp4","1","123",1.8476851415776818,505.2922172660772,930,265.1949193548387,560.2127000000002,707.38405,959.6053100000005,8388.409595698924,21807.504300000004,39916.97369999998,64096.14043000001,29.81005145619574,40.853,48.94704999999999,60.42,0,0,0,"STABLE",0,1.8476851415776818,1
"agg-4xtp4","1","42",1.9371460686451807,475.94614540640305,910,275.61466483516483,568.9425,683.0416999999999,901.28607,7383.673841758242,18533.9668,30655.48079999994,57383.06326999997,29.04553235700941,39.568,47.789,58.192,0,0,0,"STABLE",0,1.9371460686451807,1
"agg-4xtp4","1","777",1.8794132437221216,507.9695008734341,890,260.66347640449436,547.3538,653.1395999999997,855.3632100000003,7964.323260674158,19137.27210000001,38574.989749999964,61922.31324,28.605381281815905,37.815,45.918,56.345,0,0,0,"OVERLOADED",0.4141602664100886,1.8794132437221216,1
"agg-4xtp4","10","123",3.3554786366884244,893.0371508041674,2000,918.8309855,1598.5847000000008,2718.976699999998,12056.82441,16418.0058715,42070.52970000001,73379.06499999999,131742.68026999998,58.45297777425766,89.948,103.427,114.001,0,0,0,"OVERLOADED",1,3.1877047048540033,0.95
"agg-4xtp4","10","42",3.4667028761470946,884.5361722546834,2000,710.7430315,1677.9572000000005,2300.5317999999997,4128.6178699999955,16184.3485255,39223.33850000007,65098.59334999992,136936.74168,60.880215359312544,95.337,101.693,110.572,0,0,0,"OVERLOADED",1,3.310701246720475,0.955
"agg-4xtp4","10","777",3.274839804444077,911.2993632351358,1960,668.5616591836734,1604.4830000000006,2209.3970999999997,4025.6801300000084,17476.43540612245,44552.76000000003,79661.30675,156388.22217000017,60.61570806046499,98.875,106.128,115.981,0,0,0,"OVERLOADED",1,3.079351918158385,0.9403061224489796
"agg-4xtp4","100","123",3.3009158475192293,878.5156464063102,2000,1040.5824989999999,2962.8160000000007,3858.8897999999995,5369.63516,16957.2351005,41762.19520000006,73868.96255,130647.12229999999,60.02751572359067,90.755,95.351,104.13,0,0,0,"OVERLOADED",0.8916258430325276,3.272858062815316,0.9915
"agg-4xtp4","100","42",3.4651130975318556,884.1305370614481,2000,1134.3006165,3236.436800000001,4149.2760499999995,6024.74917,16994.2506715,39454.00980000001,69816.34879999999,133490.84807999997,62.40034725282508,98.827,105.128,113.747,0,0,0,"OVERLOADED",0.8572350584180602,3.2242877372533916,0.9305
"agg-4xtp4","100","777",3.064042286259297,853.0462247271627,2000,1080.4208725,3143.653300000001,4006.082,5860.5734,18674.975718499998,47304.94410000002,79253.56210000001,153188.67593,63.42259921306535,97.997,105.753,124.548,0,0,0,"OVERLOADED",1,2.892455918228776,0.944
