arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,lir,sat_level,sat_score
"agg-6xtp4","200","42",20.030020393665414,6039.717146868212,4000,64.23956575,86.13619999999999,94.365,111.69477999999998,10146.60479575,17272.1439,18946.951599999997,21625.80078999999,33.545666677480774,48.847,52.892,54.927,0,0,0,"","STABLE",0
"agg-6xtp4","200","123",19.961413987918935,6001.104684611505,4000,65.40830425,87.42219999999999,96.56419999999999,115.64696999999988,10214.64102875,17324.897699999998,19174.357399999997,21815.143699999997,33.86936525158506,49.735,53.441,56.059,0,0,0,"","STABLE",0
"agg-6xtp4","200","777",19.912119255514135,5990.103099278551,4000,64.66097275,87.71079999999999,96.38345,113.82922999999991,10258.72451775,17372.2575,19074.2719,21725.283,33.99722688416987,50.046,53.455,55.591,0,0,0,"","STABLE",0
"agg-6xtp4","300","42",20.018003391530204,6036.093621159125,4000,65.34812000000001,87.76700000000001,96.49159999999999,118.27108,10278.56949,17501.206,19261.489749999997,21859.536949999998,33.981079863875294,50.406,54.064,55.86,0,0,0,"","STABLE",0
"agg-6xtp4","300","123",19.975363585075982,6005.298425240214,4000,65.89157675,88.112,97.66109999999999,120.80777999999965,10337.258864,17653.383299999998,19408.79414999999,22086.833559999995,34.27697604754447,51.155,54.864,56.417,0,0,0,"","STABLE",0
"agg-6xtp4","300","777",19.96008721081065,6004.533155366535,4000,65.27889275,89.48349999999999,98.09654999999991,115.25624999999997,10366.152990499999,17666.496799999997,19365.8262,21867.546499999982,34.353467492087105,51.466,54.53,56.588,0,0,0,"","STABLE",0
"agg-6xtp4","400","42",20.08695260128999,6056.884100462925,4000,66.20834775,89.54959999999998,98.91284999999998,126.3113699999998,10339.91793625,17649.4807,19430.25089999999,21999.82870999999,34.18234950209336,51.096,54.603,56.357,0,0,0,"","STABLE",0
"agg-6xtp4","400","123",20.01453635761117,6017.075141504523,4000,66.68683,89.9285,99.97449999999999,138.30557999999954,10389.781366250001,17728.859899999996,19523.078599999997,22185.295719999984,34.44961010511947,51.815,55.237,56.622,0,0,0,"","STABLE",0
"agg-6xtp4","400","777",20.03598814099916,6027.366204492355,4000,65.701848,89.40629999999999,98.96699999999998,121.77041999999962,10413.233056500001,17754.2031,19482.983199999995,21866.60673999999,34.5090809316706,52.077,54.903,56.649,0,0,0,"","STABLE",0
"pd-default","200","42",17.164685718895658,5175.7234700471945,4000,121.893875,148.2021,153.6546,157.33729999999997,14376.922306749999,26712.181299999997,29851.413199999995,34323.77568999999,46.51850631419319,80.185,80.976,81.584,0,0,3997,"1.0008","STABLE",0
