config,rate,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"pd-1p2d","0.01",0.09728895240839912,43.45462020200979,525,446.5996971428571,558.2462,593.1549999999999,644.78252,9524.490196190476,22899.106799999998,34113.355399999935,73276.22047999993,20.553917754061438,23.307,24.2,26.184,0,0,525,"STABLE",0
"pd-1p2d","0.025",0.22266554060854243,98.65856526411423,540,448.9980722222222,559.632,594.9746499999999,649.98154,10918.513168518519,26284.582100000007,38938.83054999996,83693.95755,23.8746258760153,27.95,29.386,32.32678,0,0,540,"STABLE",0
"pd-1p2d","0.05",0.3910423593064199,175.34404565026418,600,457.8350116666667,568.8333,600.03425,662.64355,15280.587814999999,36567.16530000001,59136.19114999999,121938.97987,33.35029183321475,42.733,44.551,51.335,0,0,600,"OVERLOADED",0.3425146524084367
"pd-1p2d","0.075",0.4711402895134289,212.5485501759474,645,468.8539906976744,579.4676000000001,610.4001999999999,675.2755199999999,19819.192668217056,49972.16040000003,73085.81839999989,145927.61927999978,43.24135755912075,61.355,66.256,70.593,0,0,645,"STABLE",0
"pd-1p2d","0.1",0.5315295619103427,240.81911430071546,675,474.76759703703704,582.274,611.0745999999999,673.0234399999999,23278.592945185184,60060.584800000026,90010.98779999997,187869.30015999998,50.71567450662961,71.521,74.167,79.633,0,0,675,"STABLE",0
"agg-3xtp4","0.01",0.09766545625910499,43.6227876190906,525,120.79038095238094,227.83420000000004,302.90139999999997,465.1692,8672.887438095238,21513.668000000005,32409.437999999955,68730.73971999994,19.18819600032483,20.754,21.31859999999998,22.38,0,0,0,"STABLE",0
"agg-3xtp4","0.025",0.22514013566319185,99.75500792441161,540,123.8806425925926,235.5122,307.0174499999997,493.4065500000003,8968.406937037038,21693.99820000001,33319.59309999999,71788.49345000005,20.004878537049215,21.897,23.251,25.742,0,0,0,"STABLE",0
"agg-3xtp4","0.05",0.418110731413374,187.48154881697593,600,132.63455666666667,267.3525,313.7240999999998,418.29467999999946,10003.707408333334,24487.061600000005,38083.85424999994,78470.0378799999,22.06137479371631,26.093,26.911,29.393,0,0,0,"STABLE",0
"agg-3xtp4","0.075",0.5467550544840946,246.6611256107679,645,137.65055503875968,265.68359999999996,332.6897999999996,529.8314799999978,10886.193517829457,27230.56420000002,43070.95639999997,87576.10359999967,23.87668526338268,28.717,31.092,37.602,0,0,0,"STABLE",0
"agg-3xtp4","0.1",0.6501478099969437,294.56126429788935,675,143.91575259259258,282.03,355.30129999999974,528.6414399999998,11780.155158518519,30747.6438,44072.909599999984,93133.26243999999,25.738292895859686,31.332,33.743,45.275,0,0,0,"STABLE",0
